TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercentPct,PaymentMethod
1,2025-01-09,1020,2023,401,0.0,643.02,15,DebitCard
2,2024-07-10,1034,2091,404,2.0,529.24,19,DebitCard
3,2025-03-22,1087,2035,403,3.0,4313.72,11,CreditCard
4,2024-12-27,1186,2015,404,,1275.85,19,CreditCard
5,2025-04-21,1049,2005,402,0.0,1739.64,15,CreditCard
6,2024-10-30,1093,2054,402,0.0,1270.12,5,CreditCard
7,2025-02-20,1005,2097,402,0.0,644.45,25,CreditCard
8,2024-10-05,1054,2072,403,3.0,1833.37,23,CreditCard
9,2024-11-22,1063,2068,403,3.0,828.83,14,DebitCard
10,2024-08-30,1130,2096,401,1.0,1594.55,10,DebitCard
11,2024-11-11,1005,2059,403,0.0,273.38,5,Cash
12,2025-04-21,1196,2014,403,3.0,0.0,24,DebitCard
13,2025-02-16,1128,2064,401,2.0,1039.94,13,DebitCard
14,2024-08-22,1041,2099,401,3.0,1861.74,16,CreditCard
15,2025-04-19,1078,2035,401,3.0,4900.93,11,MobilePay
16,2024-12-11,1032,2021,403,3.0,1861.38,25,CreditCard
17,2025-03-02,1182,2040,404,3.0,41.46,6,CreditCard
18,2024-10-14,1058,2000,401,0.0,1815.57,1,Cash
19,2025-04-12,1071,2091,402,3.0,2628.38,2,Cash
20,2024-11-07,1005,2052,404,0.0,1969.12,6,Cash
21,2024-07-12,1086,2013,402,3.0,1325.7,21,CreditCard
22,2024-11-22,1019,2070,401,,127.04,6,CreditCard
23,2025-05-21,1060,2091,404,3.0,1240.87,13,DebitCard
24,2024-06-01,1116,2097,404,2.0,763.17,5,GiftCard
25,2025-02-22,1089,2039,404,1.0,2785.23,13,CreditCard
26,2025-04-09,1066,2030,404,1.0,127.5,2,CreditCard
27,2024-07-05,1144,2033,402,2.0,821.78,23,CreditCard
28,2025-01-24,1080,2009,401,0.0,39.84,0,CreditCard
29,2024-09-17,1017,2047,403,2.0,1975.1,13,DebitCard
30,2025-01-16,1020,2013,402,0.0,1199.52,2,DebitCard
