ProductID,ProductName,Category,UnitPrice,StockQuantityUnits,Supplier
2000,Electronics-Signal,Electronics,969.31,187,TechSource
2001,Electronics-Boost,Electronics,412.35,21,PrimeTech
2002,Office-Family,Office,866,159,GlobalSupply
2003,Electronics-Training,Electronics,385.18,123,PrimeTech
2004,Office-Where,Office,927.25,112,EliteSupply
2005,Office-Huge,Office,428.78,221,EliteSupply
2006,Office-Class,Office,198,59,PrimeTech
2007,Clothing-Over,Clothing,583.39,5,NextGen
2008,Electronics-Skin,Electronics,66.59,159,OfficePro
2009,Office-Raise,Office,66.31,108,GlobalSupply
2010,Electronics-Themselves,Electronics,77.84,159,NextGen
2011,Electronics-Religious,Electronics,409.74,232,NextGen
2012,Clothing-Artist,Clothing,623.19,151,EliteSupply
2013,Office-Cultural,Office,935.36,102,EliteSupply
2014,Clothing-Eat,Clothing,246.3,180,OfficePro
2015,Office-Itself,Office,674.97,118,PrimeTech
2016,Home-He,Home,323.02,168,TechSource
2017,Electronics-Feeling,Electronics,463.7,88,GlobalSupply
2018,Electronics-Nature,Electronics,542.26,188,GlobalSupply
2019,Home-History,Home,933.93,91,TechSource
2020,Electronics-Share,Electronics,375.83,11,PrimeTech
2021,Clothing-Skill,Clothing,835.41,198,GlobalSupply
2022,Home-Economy,Home,671.18,90,EliteSupply
2023,Home-Yeah,Home,939.54,22,TechSource
2024,Clothing-Paper,Clothing,124.27,34,GlobalSupply
2025,Electronics-Assume,Electronics,279.62,124,OfficePro
2026,Clothing-Use,Clothing,211.56,82,PrimeTech
2027,Home-Purpose,Home,258.61,127,GlobalSupply
2028,Electronics-Take,Electronics,637.94,203,NextGen
2029,Home-Yourself,Home,13.51,97,TechSource
2030,Clothing-First,Clothing,169.97,152,PrimeTech
2031,Office-Develop,Office,565.3,137,GlobalSupply
2032,Electronics-There,Electronics,945.6,60,OfficePro
2033,Clothing-Argue,Clothing,836.25,40,NextGen
2034,Clothing-Feel,Clothing,136.17,27,PrimeTech
2035,Home-According,Home,899.99,45,EliteSupply
2036,Electronics-Candidate,Electronics,217.98,64,TechSource
2037,Clothing-Meeting,Clothing,360.14,170,NextGen
2038,Office-Soon,Office,926.51,135,EliteSupply
2039,Clothing-Need,Clothing,976.44,21,GlobalSupply
2040,Clothing-Determine,Clothing,34.54,242,PrimeTech
2041,Home-Assume,Home,804.21,233,EliteSupply
2042,Clothing-Lawyer,Clothing,167.61,198,GlobalSupply
2043,Electronics-Practice,Electronics,873.45,180,TechSource
2044,Office-Society,Office,207.58,6,PrimeTech
2045,Office-Next,Office,312.14,234,TechSource
2046,Clothing-Worry,Clothing,33.43,85,OfficePro
2047,Clothing-Hair,Clothing,334.98,234,OfficePro
2048,Electronics-Candidate,Electronics,357.63,238,NextGen
2049,Office-Easy,Office,939.84,65,NextGen
2050,Electronics-Young,Electronics,186.78,206,PrimeTech
2051,Home-Century,Home,117.32,64,GlobalSupply
2052,Office-Year,Office,731.26,134,OfficePro
2053,Home-Ground,Home,610.15,223,PrimeTech
2054,Electronics-Above,Electronics,900.51,50,EliteSupply
2055,Clothing-Politics,Clothing,53.94,136,EliteSupply
2056,Office-About,Office,524.72,37,GlobalSupply
2057,Clothing-Identify,Clothing,436.98,91,NextGen
2058,Home-Wear,Home,666.75,69,TechSource
2059,Electronics-Clear,Electronics,512.05,246,TechSource
2060,Office-Term,Office,408.38,88,EliteSupply
2061,Home-Quite,Home,199.92,30,TechSource
2062,Office-Receive,Office,619.36,67,EliteSupply
2063,Home-Good,Home,552.46,178,EliteSupply
2064,Electronics-Stop,Electronics,294.04,94,EliteSupply
2065,Office-Animal,Office,470.34,122,GlobalSupply
2066,Office-Occur,Office,516.06,155,GlobalSupply
2067,Clothing-Remain,Clothing,290.95,74,NextGen
2068,Home-Read,Home,820.24,127,GlobalSupply
2069,Clothing-Garden,Clothing,232.39,40,OfficePro
2070,Clothing-About,Clothing,34.18,95,OfficePro
2071,Clothing-Success,Clothing,615.16,206,NextGen
2072,Electronics-Become,Electronics,420.3,96,PrimeTech
2073,Clothing-Executive,Clothing,499.43,55,OfficePro
2074,Clothing-Strong,Clothing,659.5,50,EliteSupply
2075,Electronics-Letter,Electronics,780.64,209,GlobalSupply
2076,Clothing-Affect,Clothing,806.07,61,EliteSupply
2077,Office-Ball,Office,561.83,178,NextGen
2078,Electronics-Film,Electronics,142.01,229,PrimeTech
2079,Office-Who,Office,950.54,237,GlobalSupply
2080,Office-Doctor,Office,832.26,90,OfficePro
2081,Office-Light,Office,746.22,93,EliteSupply
2082,Office-Figure,Office,266.6,60,GlobalSupply
2083,Clothing-Cut,Clothing,768.16,54,TechSource
2084,Office-Stuff,Office,281.85,33,GlobalSupply
2085,Electronics-Officer,Electronics,242.15,76,NextGen
2086,Home-Of,Home,894.1,131,NextGen
2087,Electronics-Rather,Electronics,159.32,108,EliteSupply
2088,Office-Evening,Office,709.35,148,TechSource
2089,Electronics-Action,Electronics,413.52,212,GlobalSupply
2090,Office-Staff,Office,71.64,88,PrimeTech
2091,Office-Mrs,Office,905.79,97,EliteSupply
2092,Electronics-Add,Electronics,482.21,233,NextGen
2093,Home-Real,Home,755.94,77,PrimeTech
2094,Office-Fight,Office,493.35,145,PrimeTech
2095,Home-Seem,Home,490.79,50,EliteSupply
2096,Office-Discuss,Office,672.18,31,TechSource
2097,Office-Recent,Office,842.1,170,OfficePro
2098,Clothing-Trouble,Clothing,907.86,106,EliteSupply
2099,Electronics-Several,Electronics,646.32,126,PrimeTech
