TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercentPct,PaymentMethod
1,1/9/25,1020,2023,401,0,643.02,15,DebitCard
2,7/10/24,1034,2091,404,2,529.24,19,DebitCard
3,3/22/25,1087,2035,403,3,4313.72,11,CreditCard
4,12/27/24,1186,2015,404,,1275.85,19,CreditCard
5,4/21/25,1049,2005,402,0,1739.64,15,CreditCard
6,10/30/24,1093,2054,402,0,1270.12,5,CreditCard
7,2/20/25,1005,2097,402,0,644.45,25,CreditCard
8,10/5/24,1054,2072,403,3,1833.37,23,CreditCard
9,11/22/24,1063,2068,403,3,828.83,14,DebitCard
10,8/30/24,1130,2096,401,1,1594.55,10,DebitCard
11,11/11/24,1005,2059,403,0,273.38,5,Cash
12,4/21/25,1196,2014,403,3,0,24,DebitCard
13,2/16/25,1128,2064,401,2,1039.94,13,DebitCard
14,8/22/24,1041,2099,401,3,1861.74,16,CreditCard
15,4/19/25,1078,2035,401,3,4900.93,11,MobilePay
16,12/11/24,1032,2021,403,3,1861.38,25,CreditCard
17,3/2/25,1182,2040,404,3,41.46,6,CreditCard
18,10/14/24,1058,2000,401,0,1815.57,1,Cash
19,4/12/25,1071,2091,402,3,2628.38,2,Cash
20,11/7/24,1005,2052,404,0,1969.12,6,Cash
21,7/12/24,1086,2013,402,3,1325.7,21,CreditCard
22,11/22/24,1019,2070,401,,127.04,6,CreditCard
23,5/21/25,1060,2091,404,3,1240.87,13,DebitCard
24,6/1/24,1116,2097,404,2,763.17,5,GiftCard
25,2/22/25,1089,2039,404,1,2785.23,13,CreditCard
26,4/9/25,1066,2030,404,1,127.5,2,CreditCard
27,7/5/24,1144,2033,402,2,821.78,23,CreditCard
28,1/24/25,1080,2009,401,0,39.84,0,CreditCard
29,9/17/24,1017,2047,403,2,1975.1,13,DebitCard
30,1/16/25,1020,2013,402,0,1199.52,2,DebitCard
31,9/23/24,1089,2041,404,0,2406.09,11,DebitCard
32,9/21/24,1116,2033,402,3,268.15,5,DebitCard
33,5/13/25,1038,2047,402,0,1803.01,21,Cash
34,3/19/25,1091,2035,401,3,3872.65,4,DebitCard
35,5/6/25,1116,2022,404,,697.76,25,CreditCard
36,5/8/25,1188,2034,402,0,125.51,13,DebitCard
37,11/25/24,1032,2029,402,,55.96,6,DebitCard
38,4/13/25,1071,2065,404,2,274.92,6,GiftCard
39,5/22/25,1020,2039,404,2,4929.06,22,CreditCard
40,7/19/24,1048,2079,401,1,814.88,7,GiftCard
41,1/21/25,1080,2015,403,3,1409.56,18,Cash
42,12/15/24,1005,2022,403,0,459.86,23,CreditCard
43,3/15/25,1082,2056,402,1,603.38,0,MobilePay
44,1/21/25,1023,2096,402,1,337.34,15,MobilePay
45,6/21/24,1156,2009,404,1,63.76,16,DebitCard
